date,corp_debt,,mortgage_debt,heloc_debt,auto_debt,credit_debt,student_debt,other_Debt,total_consumer_debt,no_housing_consumer_debt,mortgage_change,mort_neg,heloc_change,heloc_neg,auto_change,auto_neg,credit_change,credit_neg,student_change,student_neg,other_change,other_neg,total_consumer_change,total_neg,no_housing_consumer_change,no_housing_neg,mortgage_date,mortgage_neg_date,heloc_date,heloc_neg_date,credit_date,credit_neg_date,auto_date,auto_neg_date,total_date,total_neg_date
1/1/2007,3.210162,1,8.234,0.604,0.821,0.767,0.482,0.406,11.314,2.476,0,,0,,0,,0,,0,,0,,0,,0,,1/1/2007,,1/1/2007,,1/1/2007,,1/1/2007,,1/1/2007,
4/1/2007,3.311636,1.031610243,8.422,0.605,0.794,0.764,0.506,0.404,11.495,2.468,2.3,,0.2,,-3.3,-3.3,-0.4,-0.4,5,,,-0.5,1.6,,,-0.3,4/1/2007,,4/1/2007,,,4/1/2007,,4/1/2007,4/1/2007,
7/1/2007,3.314691,1.032561908,8.706,0.619,0.807,0.796,0.514,0.408,11.85,2.525,5.7,,2.5,,-1.7,-1.7,3.8,,6.6,,0.5,,4.7,,2,,7/1/2007,,7/1/2007,,7/1/2007,,,7/1/2007,7/1/2007,
10/1/2007,3.357475,1.045889584,8.925,0.631,0.818,0.817,0.529,0.413,12.133,2.577,8.4,,4.5,,-0.4,-0.4,6.5,,9.8,,1.7,,7.2,,4.1,,10/1/2007,,10/1/2007,,10/1/2007,,,10/1/2007,10/1/2007,
1/1/2008,3.408181,1.061685049,9.101,0.647,0.815,0.839,0.548,0.422,12.372,2.624,10.5,,7.1,,-0.7,-0.7,9.4,,13.7,,3.9,,9.4,,6,,1/1/2008,,1/1/2008,,1/1/2008,,,1/1/2008,1/1/2008,
4/1/2008,3.504142,1.091577933,9.234,0.663,0.808,0.837,0.579,0.415,12.536,2.639,12.1,,9.8,,-1.6,-1.6,9.1,,20.1,,2.2,,10.8,,6.6,,4/1/2008,,4/1/2008,,4/1/2008,,,4/1/2008,4/1/2008,
7/1/2008,3.544829,1.104252371,9.273,0.679,0.81,0.85,0.586,0.401,12.599,2.647,12.6,,12.4,,-1.3,-1.3,10.8,,21.6,,-1.2,,11.4,,6.9,,7/1/2008,,7/1/2008,,7/1/2008,,,7/1/2008,7/1/2008,
10/1/2008,3.548485,1.105391254,9.294,0.692,0.809,0.858,0.611,0.412,12.676,2.69,12.9,,14.6,,-1.5,-1.5,11.9,,26.8,,1.5,,12,,8.6,,10/1/2008,,10/1/2008,,10/1/2008,,,10/1/2008,10/1/2008,
1/1/2009,3.636133,1.132694549,9.257,0.705,0.791,0.866,0.639,0.412,12.67,2.708,12.4,,16.7,,-3.7,-3.7,12.9,,32.6,,1.5,,12,,9.4,,1/1/2009,,1/1/2009,,1/1/2009,,,1/1/2009,1/1/2009,
4/1/2009,3.690213,1.149541051,9.135,0.714,0.766,0.843,0.663,0.409,12.53,2.681,10.9,,18.2,,-6.7,-6.7,9.9,,37.6,,0.7,,10.7,,8.3,,4/1/2009,,4/1/2009,,4/1/2009,,,4/1/2009,4/1/2009,
7/1/2009,3.707337,1.154875361,9.063,0.713,0.743,0.824,0.675,0.389,12.407,2.631,10.1,,18,,-9.5,-9.5,7.4,,40,,-4.2,,9.7,,6.3,,7/1/2009,,7/1/2009,,7/1/2009,,,7/1/2009,7/1/2009,
10/1/2009,3.724334,1.16017011,8.944,0.708,0.739,0.812,0.695,0.382,12.28,2.628,8.6,,17.2,,-10,-10,5.9,,44.2,,-5.9,,8.5,,6.1,,10/1/2009,,10/1/2009,,10/1/2009,,,10/1/2009,10/1/2009,
1/1/2010,3.80414,1.185030537,8.843,0.706,0.722,0.795,0.721,0.379,12.166,2.617,7.4,,16.9,,-12.1,-12.1,3.7,,49.6,,-6.7,,7.5,,5.7,,1/1/2010,,1/1/2010,,1/1/2010,,,1/1/2010,1/1/2010,
4/1/2010,3.829848,1.193038856,8.834,0.695,0.705,0.762,0.758,0.363,12.117,2.588,7.3,,15.1,,-14.1,-14.1,-0.7,-0.7,57.3,,-10.6,,7.1,,4.5,,4/1/2010,,4/1/2010,,,4/1/2010,,4/1/2010,4/1/2010,
7/1/2010,3.929677,1.224136664,8.703,0.683,0.702,0.744,0.762,0.349,11.943,2.557,5.7,,13.1,,-14.5,-14.5,-3,-3,58.1,,-14,,5.6,,3.3,,7/1/2010,,7/1/2010,,,7/1/2010,,7/1/2010,7/1/2010,
10/1/2010,3.960617,1.233774806,8.609,0.673,0.71,0.731,0.778,0.343,11.844,2.562,4.6,,11.4,,-13.5,-13.5,-4.7,-4.7,61.4,,-15.5,,4.7,,3.5,,10/1/2010,,10/1/2010,,,10/1/2010,,10/1/2010,10/1/2010,
1/1/2011,4.023082,1.253233326,8.452,0.668,0.711,0.73,0.812,0.341,11.714,2.594,2.6,,10.6,,-13.4,-13.4,-4.8,-4.8,68.5,,-16,,3.5,,4.8,,1/1/2011,,1/1/2011,,,1/1/2011,,1/1/2011,1/1/2011,
4/1/2011,4.069636,1.267735398,8.544,0.641,0.706,0.696,0.839,0.329,11.755,2.57,3.8,,6.1,,-14,-14,-9.3,-9.3,74.1,,-19,,3.9,,3.8,,4/1/2011,,4/1/2011,,,4/1/2011,,4/1/2011,4/1/2011,
7/1/2011,4.133646,1.287675201,8.516,0.625,0.713,0.694,0.851,0.33,11.729,2.588,3.4,,3.5,,-13.2,-13.2,-9.5,-9.5,76.6,,-18.7,,3.7,,4.5,,7/1/2011,,7/1/2011,,,7/1/2011,,7/1/2011,7/1/2011,
10/1/2011,4.164096,1.297160704,8.402,0.639,0.73,0.693,0.87,0.327,11.661,2.62,2,,5.8,,-11.1,-11.1,-9.6,-9.6,80.5,,-19.5,,3.1,,5.8,,10/1/2011,,10/1/2011,,,10/1/2011,,10/1/2011,10/1/2011,
1/1/2012,4.262566,1.327835168,8.268,0.627,0.734,0.704,0.874,0.33,11.537,2.642,0.4,,3.8,,-10.6,-10.6,-8.2,-8.2,81.3,,-18.7,,2,,6.7,,1/1/2012,,1/1/2012,,,1/1/2012,,1/1/2012,1/1/2012,
4/1/2012,4.32733,1.348009851,8.187,0.612,0.737,0.679,0.904,0.319,11.438,2.639,-0.6,-0.6,1.3,,-10.2,-10.2,-11.5,-11.5,87.6,,-21.4,,1.1,,6.6,,,4/1/2012,4/1/2012,,,4/1/2012,,4/1/2012,4/1/2012,
7/1/2012,4.427193,1.37911825,8.147,0.589,0.75,0.672,0.914,0.312,11.384,2.648,-1.1,-1.1,-2.5,-2.5,-8.6,-8.6,-12.4,-12.4,89.6,,-23.2,,0.6,,6.9,,,7/1/2012,,7/1/2012,,7/1/2012,,7/1/2012,7/1/2012,
10/1/2012,4.515748,1.406704085,8.028,0.573,0.768,0.674,0.956,0.311,11.31,2.709,-2.5,-2.5,-5.1,-5.1,-6.5,-6.5,-12.1,-12.1,98.3,,-23.4,,0,,9.4,,,10/1/2012,,10/1/2012,,10/1/2012,,10/1/2012,10/1/2012,
1/1/2013,4.605382,1.434626041,8.033,0.563,0.783,0.679,0.966,0.317,11.341,2.745,-2.4,-2.4,-6.8,-6.8,-4.6,-4.6,-11.5,-11.5,100.4,,-21.9,,0.2,,10.9,,,1/1/2013,,1/1/2013,,1/1/2013,,1/1/2013,1/1/2013,
4/1/2013,4.659795,1.451576276,7.932,0.552,0.794,0.66,0.986,0.307,11.231,2.747,-3.7,-3.7,-8.6,-8.6,-3.3,-3.3,-14,-14,104.6,,-24.4,,-0.7,-0.7,10.9,,,4/1/2013,,4/1/2013,,4/1/2013,,4/1/2013,,4/1/2013
7/1/2013,4.787957,1.491500117,7.841,0.54,0.814,0.668,0.994,0.296,11.153,2.772,-4.8,-4.8,-10.6,-10.6,-0.9,-0.9,-12.9,-12.9,106.2,,-27.1,,-1.4,-1.4,12,,,7/1/2013,,7/1/2013,,7/1/2013,,7/1/2013,,7/1/2013
10/1/2013,4.809459,1.498198222,7.897,0.535,0.845,0.672,1.027,0.304,11.28,2.848,-4.1,-4.1,-11.4,-11.4,2.9,,-12.4,-12.4,113.1,,-25.1,,-0.3,-0.3,15,,,10/1/2013,,10/1/2013,,10/1/2013,10/1/2013,,,10/1/2013
1/1/2014,4.916944,1.531680956,8.049,0.529,0.863,0.683,1.08,0.317,11.521,2.943,-2.2,-2.2,-12.4,-12.4,5.1,,-11,-11,124.1,,-21.9,,1.8,,18.9,,,1/1/2014,,1/1/2014,,1/1/2014,1/1/2014,,1/1/2014,
4/1/2014,4.984267,1.552652794,8.165,0.526,0.875,0.659,1.111,0.314,11.65,2.959,-0.8,-0.8,-12.9,-12.9,6.6,,-14.1,-14.1,130.5,,-22.7,,3,,19.5,,,4/1/2014,,4/1/2014,,4/1/2014,4/1/2014,,4/1/2014,
7/1/2014,5.053846,1.574327402,8.096,0.521,0.905,0.669,1.118,0.323,11.632,3.015,-1.7,-1.7,-13.7,-13.7,10.2,,-12.8,-12.8,132,,-20.4,,2.8,,21.8,,,7/1/2014,,7/1/2014,,7/1/2014,7/1/2014,,7/1/2014,
10/1/2014,5.120004,1.59493633,8.131,0.512,0.934,0.68,1.126,0.327,11.71,3.067,-1.3,-1.3,-15.2,-15.2,13.8,,-11.3,-11.3,133.6,,-19.5,,3.5,,23.9,,,10/1/2014,,10/1/2014,,10/1/2014,10/1/2014,,10/1/2014,
1/1/2015,5.243219,1.633319128,8.17,0.51,0.955,0.7,1.157,0.335,11.827,3.147,-0.8,-0.8,-15.6,-15.6,16.3,,-8.7,-8.7,140,,-17.5,,4.5,,27.1,,,1/1/2015,,1/1/2015,,1/1/2015,1/1/2015,,1/1/2015,
4/1/2015,5.395784,1.680844767,8.171,0.51,0.968,0.684,1.189,0.329,11.851,3.17,-0.8,-0.8,-15.6,-15.6,17.9,,-10.8,-10.8,146.7,,-19,,4.7,,28,,,4/1/2015,,4/1/2015,,4/1/2015,4/1/2015,,4/1/2015,
7/1/2015,5.501136,1.713663049,8.116,0.499,1.006,0.703,1.19,0.339,11.853,3.238,-1.4,-1.4,-17.4,-17.4,22.5,,-8.3,-8.3,146.9,,-16.5,,4.8,,30.8,,,7/1/2015,,7/1/2015,,7/1/2015,7/1/2015,,7/1/2015,
10/1/2015,5.526798,1.721657038,8.26,0.492,1.045,0.714,1.203,0.351,12.065,3.313,0.3,,-18.5,-18.5,27.3,,-6.9,-6.9,149.6,,-13.5,,6.6,,33.8,,10/1/2015,,,10/1/2015,,10/1/2015,10/1/2015,,10/1/2015,
1/1/2016,5.667701,1.765549838,8.249,0.487,1.064,0.733,1.232,0.351,12.116,3.38,0.2,,-19.4,-19.4,29.6,,-4.4,-4.4,155.6,,-13.5,,7.1,,36.5,,1/1/2016,,,1/1/2016,,1/1/2016,1/1/2016,,1/1/2016,
4/1/2016,5.750664,1.791393705,8.369,0.485,1.071,0.712,1.261,0.354,12.252,3.398,1.6,,-19.7,-19.7,30.5,,-7.2,-7.2,161.6,,-12.8,,8.3,,37.2,,4/1/2016,,,4/1/2016,,4/1/2016,4/1/2016,,4/1/2016,
7/1/2016,5.828521,1.815646999,8.362,0.478,1.103,0.729,1.259,0.356,12.287,3.447,1.6,,-20.9,-20.9,34.3,,-5,-5,161.2,,-12.3,,8.6,,39.2,,7/1/2016,,,7/1/2016,,7/1/2016,7/1/2016,,7/1/2016,
10/1/2016,5.815896,1.811714175,8.35,0.472,1.135,0.747,1.279,0.367,12.35,3.528,1.4,,-21.9,-21.9,38.2,,-2.6,-2.6,165.4,,-9.6,,9.2,,42.5,,10/1/2016,,,10/1/2016,,10/1/2016,10/1/2016,,10/1/2016,
1/1/2017,5.936823,1.849384237,8.48,0.473,1.157,0.779,1.31,0.377,12.576,3.623,3,,-21.7,-21.7,40.9,,1.6,,171.8,,-7.1,,11.2,,46.3,,1/1/2017,,,1/1/2017,1/1/2017,,1/1/2017,,1/1/2017,
4/1/2017,,,8.627,0.456,1.167,0.764,1.344,0.367,12.725,3.642,4.8,,-24.5,-24.5,42.1,,-0.4,-0.4,178.8,,-9.6,,12.5,,47.1,,4/1/2017,,,4/1/2017,,4/1/2017,4/1/2017,,4/1/2017,
