date,core_inflation,labor_part,u6_unemployment,category,direction,color,amount,info,balance_sheet,bonds,mbs
1/31/07,2.7,66.4,8.4,,,,,,888608,467864,0
2/28/07,2.7,66.3,8.2,,,,,,903244,466675,0
3/31/07,2.5,66.2,8,,,,,,903279,468553,0
4/30/07,2.3,65.9,8.2,,,,,,901653,471714,0
5/31/07,2.2,66,8.2,,,,,,905512,474672,0
6/30/07,2.2,66,8.3,,,,,,899388,474672,0
7/31/07,2.2,66,8.4,,,,,,901987,474672,0
8/31/07,2.1,65.8,8.4,,,,,,901862,472142,0
9/30/07,2.1,66,8.4,,,,,,911422,472142,0
10/31/07,2.2,65.8,8.4,,,,,,910780,472142,0
11/30/07,2.3,66,8.4,,,,,,921611,470984,0
12/31/07,2.4,66,8.8,,,,,,925560,470984,0
1/31/08,2.5,66.2,9.2,,,,,,916745,470984,0
2/29/08,2.3,66,9,,,,,,918640,470010,0
3/31/08,2.4,66.1,9.1,'rate','down',red,2.7,Here's some filler for you to test out,921456,470010,0
4/30/08,2.3,65.9,9.2,'rate','down',red,1.8,Here's some filler for you,920457,452909,0
5/31/08,2.3,66.1,9.7,,,,,,930033,434396,0
6/30/08,2.4,66.1,10.1,,,,,,926670,412392,0
7/31/08,2.5,66.1,10.5,,,,,,944941,412392,0
8/31/08,2.5,66.1,10.8,,,,,,936384,411731,0
9/30/08,2.5,66,11,,,,,,1186957,411371,0
10/31/08,2.2,66,11.8,'rate',down',red,0.9,Here's some filler for you,1924976,411731,0
11/30/08,2,65.9,12.6,'qe','up',green,0.5,Here's some filler for you,2145920,410529,0
12/31/08,1.8,65.8,13.6,'rate','down',red,-0.9,Here's some filler for you,2259356,410491,0
1/31/09,1.7,65.7,14.2,,,,,,2041904,412914,0
2/28/09,1.8,65.8,15.2,,,,,,1952216,412914,68529
3/31/09,1.8,65.6,15.8,'qe','up',green,1.5,Here's some filler for you,2103055,412914,236964
4/30/09,1.9,65.7,15.9,,,,,,2143109,479039,367728
5/31/09,1.8,65.7,16.5,,,,,,2130071,430902,430902
6/30/09,1.7,65.7,16.5,,,,,,2052255,581608,467114
7/31/09,1.5,65.5,16.4,,,,,,2065776,627146,544507
8/31/09,1.4,65.4,16.7,,,,,,2104575,671822,624264
9/30/09,1.5,65.1,16.7,,,,,,2191003,707449,689228
10/31/09,1.7,65,17.1,,,,,,2213202,709649,776025
11/30/09,1.7,65,17.1,,,,,,2248691,709649,854872
12/31/09,1.8,64.6,17.1,,,,,,2278896,709649,909575
1/31/10,1.6,64.8,16.7,,,,,,2293657,708872,973241
2/28/10,1.3,64.9,17,'qe','down',teal,0.5,Here's some filler for you,2328458,708872,1032735
3/31/10,1.1,64.9,17.1,,,,,,2356901,708872,1073519
4/30/10,0.9,65.2,17.1,,,,,,2375785,712258,1099763
5/31/10,0.9,64.9,16.6,,,,,,2382850,712023,1117932
6/30/10,0.9,64.6,16.4,,,,,,2387303,712023,1128424
7/31/10,0.9,64.6,16.4,,,,,,2371834,712020,1121831
8/31/10,0.9,64.7,16.5,,,,,,2353703,717857,1111424
9/30/10,0.8,64.6,16.8,,,,,,2347291,743219,1086158
10/31/10,0.6,64.4,16.6,,,,,,2342413,767275,1059445
11/30/10,0.8,64.6,16.9,'qe','up',green,0.5,Here's some filler for you,2377209,823956,1038075
12/31/10,0.8,64.3,16.6,,,,,,2467544,937566,1001432
1/31/11,1,64.2,16.2,,,,,,2479266,1021561,975533
2/28/11,1.1,64.1,16,,,,,,2565280,1122726,958375
3/31/11,1.2,64.2,15.9,,,,,,2657343,1240411,938111
4/30/11,1.3,64.2,16.1,,,,,,2731876,13232155,930565
5/31/11,1.5,64.1,15.8,,,,,,2810802,1417325,922625
6/30/11,1.6,64,16.1,'qe','down',teal,0.5,Here's some filler for you,2903357,1514339,911980
7/31/11,1.8,64,15.9,,,,,,2913147,1541736,901226
8/31/11,2,64.1,16.1,,,,,,2902847,1554087,892475
9/30/11,2,64.2,16.4,,,,,,2898716,1568798,875659
10/31/11,2.1,64.1,15.8,,,,,,2893323,1575160,858169
11/30/11,2.2,64.1,15.5,,,,,,2868717,1572353,841828
12/31/11,2.2,64,15.2,,,,,,2980807,1574925,847756
1/31/12,2.3,63.7,15.2,,,,,,2965815,1557618,846377
2/29/12,2.2,63.8,15,,,,,,2977971,1563864,851789
3/31/12,2.3,63.8,14.5,,,,,,2933321,1571722,845079
4/30/12,2.3,63.7,14.6,,,,,,2921077,1572232,860985
5/31/12,2.3,63.7,14.7,,,,,,2895392,1568086,853657
6/30/12,2.2,63.8,14.8,,,,,,2915062,1570616,862674
7/31/12,2.1,63.7,14.8,,,,,,2905111,1565823,865384
8/31/12,1.9,63.5,14.6,,,,,,2864529,1557926,852640
9/30/12,2,63.6,14.8,'qe','up',green,0.5,Here's some filler for you,2857511,1561398,847999
