Date,Financial,Utility,Discretionary,Staples,Energy,Health,Industry,Technology,Materials
1/3/07,29.9797,36.82,38.52,26.287,56.58,33.5,35.23,23.33,34.61
1/4/07,29.8822,36.77,38.51,26.33,55.55,33.88,35.08,23.69,34.45
1/5/07,29.6305,36.11,38.25,26.14,55.92,33.69,34.96,23.5,34.22
1/8/07,29.7767,36.09,38.31,26.18,55.92,33.73,35.09,23.57,34.22
1/9/07,29.728,36.12,38.52,26.24,55.44,33.69,35.07,23.6,34.23
1/10/07,29.8254,36.13,38.72,26.35,54.37,33.75,35.19,23.72,34.47
1/11/07,30.0122,36.17,39.15,26.55,54.06,34.12,35.48,23.96,34.84
1/12/07,30.0446,35.87,39.26,26.51,55.44,34.28,35.58,24.02,35.23
1/16/07,30.1258,35.98,39.4,26.53,54.87,34.36,35.77,23.97,35.32
1/17/07,30.0446,36.06,39.4,26.61,55.48,34.56,35.8,23.66,35.44
1/18/07,29.9228,36.04,39.62,26.57,55.07,34.66,35.64,23.39,35.23
1/19/07,30.0122,36.05,39.61,26.61,56.58,34.67,35.62,23.38,35.77
1/22/07,29.9878,36.04,39.36,26.58,56.19,34.46,35.23,23.21,35.4
1/23/07,29.9716,36.25,39.5,26.63,57.65,34.28,35.64,23.21,35.85
1/24/07,30.2801,36.37,39.65,26.73,57.9,34.54,35.54,23.63,36.22
1/25/07,29.8416,36.34,39.02,26.56,56.71,34.42,35.35,23.34,36.1
1/26/07,29.8985,36.25,38.83,26.49,56.85,34.23,35.21,23.35,36.08
1/29/07,29.7523,36.37,38.93,26.56,56.58,34.18,35.29,23.45,35.94
1/30/07,29.866,36.48,39.04,26.54,57.72,34.35,35.27,23.59,36.04
1/31/07,30.1096,36.59,39.46,26.65,58.09,34.51,35.74,23.73,36.25
2/1/07,30.3045,36.9,39.6,26.75,58.3,34.8,36.05,23.63,36.69
2/2/07,30.3613,37.1,39.71,26.8,58.63,34.73,36.19,23.75,36.63
2/5/07,30.3532,37.5,39.58,26.71,58.57,34.72,36.26,23.69,36.48
2/6/07,30.4913,37.7,39.72,26.67,58.39,34.62,36.27,23.66,36.73
2/7/07,30.6049,37.84,39.91,26.61,58.04,34.67,36.24,23.77,36.73
2/8/07,30.5075,37.91,39.83,26.56,58.63,34.64,35.99,23.8,36.77
2/9/07,30.1827,38.04,39.46,26.52,58.39,34.54,35.85,23.54,36.6
2/12/07,30.1096,37.9,39.27,26.46,57.58,34.39,35.91,23.44,36.75
2/13/07,30.3288,38.23,39.62,26.55,58.42,34.52,36.2,23.54,37.49
