date,print_date,core_inflation,labor_part,u6_unemployment,balance_sheet,bonds,mbs,red_line,green_line,category,direction,timeline_color,balance_date,balance_dots,timeline_date,timeline_opacity,amount,date_info,info,info2,info3,effect,effect2,effect3,balance_color,,,
1/2007,"""2007 Jan""",2.7,66.4,8.4,0.888608,0.467864,0,0.888608,,,,,,,,0,7,,,,,,,,red,8.89E-07,4.68E-07,0
2/2007,"""2007 Feb""",2.7,66.3,8.2,0.903244,0.466675,0,0.903244,,,,,,,,0,7,,,,,,,,red,9.03E-07,4.67E-07,0
3/2007,"""2007 Mar""",2.5,66.2,8,0.903279,0.468553,0,0.903279,,,,,,,,0,7,,,,,,,,red,9.03E-07,4.69E-07,0
4/2007,"""2007 Apr",2.3,65.9,8.2,0.901653,0.471714,0,0.901653,,,,,,,,0,7,,,,,,,,red,9.02E-07,4.72E-07,0
5/2007,"""2007 May",2.2,66,8.2,0.905512,0.474672,0,0.905512,,,,,,,,0,7,,,,,,,,red,9.06E-07,4.75E-07,0
6/2007,"""2007 Jun""",2.2,66,8.3,0.899388,0.474672,0,0.899388,,,,,,,,0,7,,,,,,,,red,8.99E-07,4.75E-07,0
7/2007,"""2007 Jul""",2.2,66,8.4,0.901987,0.474672,0,0.901987,,,,,,,,0,7,,,,,,,,red,9.02E-07,4.75E-07,0
8/2007,"""2007 Aug""",2.1,65.8,8.4,0.901862,0.472142,0,0.901862,,,,,,,,0,7,,,,,,,,red,9.02E-07,4.72E-07,0
9/2007,"""2007 Sep""",2.1,66,8.4,0.911422,0.472142,0,0.911422,,,,,,,,0,7,,,,,,,,red,9.11E-07,4.72E-07,0
10/2007,"""2007 Oct""",2.2,65.8,8.4,0.91078,0.472142,0,0.91078,,,,,,,,0,7,,,,,,,,red,9.11E-07,4.72E-07,0
11/2007,"""2007 Nov""",2.3,66,8.4,0.921611,0.470984,0,0.921611,,,,,,,,0,7,,,,,,,,red,9.22E-07,4.71E-07,0
12/2007,"""2007 Dec""",2.4,66,8.8,0.92556,0.470984,0,0.92556,,,,,,,,0,7,,,,,,,,red,9.26E-07,4.71E-07,0
1/2008,"""2008 Jan""",2.5,66.2,9.2,0.916745,0.470984,0,0.916745,,,,,,,,0,7,,,,,,,,red,9.17E-07,4.71E-07,0
2/2008,"""2008 Feb""",2.3,66,9,0.91864,0.47001,0,0.91864,,,,,,,,0,7,,,,,,,,red,9.19E-07,4.70E-07,0
3/2008,"""2008 Mar""",2.4,66.1,9.1,0.921456,0.47001,0,0.921456,,'rate','down',red,,,3/31/2008,1,0,2008 Mar,Rate Decrease: From 3%->2.25%,,,GOAL: Stimulate spending by making,borrowing money cheaper.,,red,9.21E-07,4.70E-07,0
